edge_kind,epsilon,amplitude_scale,decay_only_baseline_fidelity,process_fidelity,delta_from_decay_only,process_infidelity,no_jump_average_fidelity,active_population,loss_proxy,cz_phase_error_rad
gaussian,-0.05,0.95,0.9992240060555032,0.9883015112162148,-0.010922494839288421,0.01169848878378521,0.9894662949201546,0.9941254297359138,0.005874570264086221,-0.004587567372598578
gaussian,-0.049,0.951,0.9992240060555032,0.9887405586474196,-0.010483447408083602,0.01125944135258039,0.9898590415805455,0.9943329733130487,0.005667026686951293,-0.004148520336400452
gaussian,-0.048,0.952,0.9992240060555032,0.9891704113914126,-0.010053594664090615,0.010829588608587404,0.9902435375308949,0.9945360420888243,0.00546395791117571,-0.00372319167044477
gaussian,-0.047,0.953,0.9992240060555032,0.9895910779023347,-0.009632928153168518,0.010408922097665307,0.9906197910079564,0.9947346434304435,0.005265356569556512,-0.003311562990764294
gaussian,-0.046,0.954,0.9992240060555032,0.9900025669336786,-0.009221439121824604,0.009997433066321393,0.9909878105349138,0.9949287849398549,0.005071215060145073,-0.0029136150259905236
gaussian,-0.045000000000000005,0.955,0.9992240060555032,0.9904048875379484,-0.008819118517554791,0.00959511246205158,0.991347604921617,0.9951184744562914,0.004881525543708576,-0.0025293276208615545
gaussian,-0.044000000000000004,0.956,0.9992240060555032,0.9907980490662603,-0.008425956989242867,0.009201950933739655,0.9916991832647547,0.9953037200587316,0.004696279941268422,-0.002158679739851177
gaussian,-0.043000000000000003,0.957,0.9992240060555032,0.9911820611679668,-0.0080419448875364,0.00881793883203319,0.9920425549480469,0.9954845300683681,0.004515469931631877,-0.001801649470900557
gaussian,-0.042,0.958,0.9992240060555032,0.9915569337902563,-0.007667072265246877,0.008443066209743666,0.9923777296424096,0.9956609130510226,0.004339086948977444,-0.0014582140292453971
gaussian,-0.041,0.959,0.9992240060555032,0.9919226771777153,-0.007301328877787894,0.008077322822284683,0.9927047173060736,0.995832877819506,0.004167122180493976,-0.001128349761372771
gaussian,-0.04,0.96,0.9992240060555032,0.9922793018718946,-0.0069447041836085965,0.0077206981281053855,0.9930235281847086,0.9960004334359649,0.003999566564035106,-0.0008120321490610038
gaussian,-0.03900000000000001,0.961,0.9992240060555032,0.9926268187108551,-0.006597187344648092,0.007373181289144881,0.9933341728115195,0.9961635892141769,0.0038364107858230856,-0.0005092358135332375
gaussian,-0.038000000000000006,0.962,0.9992240060555032,0.9929652388286823,-0.006258767226820949,0.007034761171317738,0.9936366620073048,0.9963223547217953,0.0036776452782046887,-0.00021993451970603317
gaussian,-0.037000000000000005,0.963,0.9992240060555032,0.9932945736550126,-0.005929432400490597,0.006705426344987386,0.9939310068805266,0.9964767397825826,0.0035232602174174454,5.589881946299613e-05
gaussian,-0.036000000000000004,0.964,0.9992240060555032,0.9936148349145071,-0.005609171140996128,0.0063851650854929165,0.994217218827318,0.9966267544785613,0.0033732455214386947,0.00031829213852141436
gaussian,-0.035,0.965,0.9992240060555032,0.993926034626333,-0.005297971429170212,0.006073965373667001,0.9944953095314979,0.9967724091521579,0.0032275908478420767,0.0005672742149944732
gaussian,-0.034,0.966,0.9992240060555032,0.9942281851036224,-0.004995820951880781,0.0057718148963775695,0.9947652909645548,0.9969137144082847,0.00308628559171531,0.0008028746647470442
gaussian,-0.033,0.967,0.9992240060555032,0.9945212989529066,-0.0047027071025965705,0.0054787010470933595,0.9950271753856018,0.9970506811163827,0.002949318883617269,0.0010251239372576215
gaussian,-0.032,0.968,0.9992240060555032,0.9948053890735441,-0.0044186169819591115,0.0051946109264559,0.9952809753413199,0.9971833204124226,0.0028166795875773643,0.0012340533108021745
gaussian,-0.031000000000000003,0.969,0.9992240060555032,0.995080468657115,-0.004143537398388242,0.004919531342885031,0.9955267036658622,0.9973116437008511,0.002688356299148875,0.0014296948875540672
gaussian,-0.030000000000000002,0.97,0.9992240060555032,0.9953465511868108,-0.003877454868692398,0.004653448813189187,0.9957643734807486,0.9974356626565006,0.0025643373434993677,0.0016120815885920514
gaussian,-0.029,0.971,0.9992240060555032,0.9956036504368078,-0.0036203556186954478,0.004396349563192237,0.9959939981947372,0.9975553892264549,0.002444610773545075,0.0017812471488296566
gaussian,-0.028000000000000004,0.972,0.9992240060555032,0.9958517804716063,-0.0033722255838969373,0.004148219528393726,0.9962155915036552,0.9976708356318511,0.002329164368148895,0.0019372261118477674
gaussian,-0.027000000000000003,0.973,0.9992240060555032,0.9960909556453806,-0.003133050410122573,0.003909044354619362,0.9964291673902371,0.9977820143696635,0.002217985630336483,0.0020800538246574796
gaussian,-0.026000000000000002,0.974,0.9992240060555032,0.9963211906012658,-0.0029028154542374285,0.0036788093987342174,0.9966347401238913,0.9978889382143938,0.002111061785606161,0.0022097664323741384
