blockade_shift_mhz,process_fidelity,active_population,no_jump_average_fidelity,phase_corrected_alpha,phase_corrected_beta,phase_fit_success,phase_fit_nit,diagnostic_fixed_nominal_virtual_z_process_fidelity,diagnostic_fixed_nominal_virtual_z_no_jump_average_fidelity,z00_abs,z0c_abs,zcc_abs,z00_phase_rad,z0c_phase_rad,zcc_phase_rad
110.93990398064639,0.9990607639501803,0.9992620245302217,0.9991010160661886,1.412203687323199e-13,2.3178076387993105,True,48,0.9986541491303544,0.9987757242103278,1.0,0.9995200803802744,0.9994835246036359,0.0,2.289429839661989,1.4940299837871205
112.4730319812512,0.9990802764593835,0.9992637603951042,0.9991169732465277,1.6076029396572267e-13,2.3165250561348536,True,54,0.9987093842749003,0.998820259498941,1.0,0.9995200803802744,0.9994869981213544,0.0,2.289429839661989,1.491464437553083
114.00615998185599,0.9990985083146664,0.9992654996260069,0.9991319065769344,1.4166445794216997e-13,2.3152782919882364,True,50,0.9987607690005015,0.9988617151256026,1.0,0.9995200803802744,0.9994904783624742,0.0,2.289429839661989,1.4889705215964537
115.53928798246079,0.9991154881905726,0.9992671846238727,0.9991458274772326,1.5232259897857148e-13,2.3140657566995344,True,54,0.9988085043060461,0.9989002403696114,1.0,0.9995200803802744,0.9994938500704796,0.0,2.289429839661989,1.4865450859002451
117.0724159830656,0.9991312023870681,0.9992687229761776,0.99915870650489,1.5587531265737198e-13,2.3128860243506058,True,58,0.9988527337506641,0.9989359315957668,1.0,0.9995200803802744,0.999496928328412,0.0,2.289429839661989,1.4841853108853944
118.60554398367039,0.9991456672533213,0.9992700589462299,0.999170545591903,1.4166445794216997e-13,2.3117378668779756,True,52,0.9988936176868591,0.9989689059387332,1.0,0.9995200803802744,0.9994996016097952,0.0,2.289429839661989,1.4818886717247646
120.13867198427519,0.9991589635505919,0.9992712065545001,0.9991814121513736,1.4876988529977098e-13,2.310620083481833,True,51,0.9989313701771358,0.9989993374526087,1.0,0.9995200803802744,0.9995018979727952,0.0,2.289429839661989,1.4796528172088441
121.67179998488,0.9991712191481303,0.9992722312455347,0.9991914215676111,1.4832579608992091e-13,2.3095315583247285,True,61,0.998966243774719,0.9990274412688821,1.0,0.9995200803802744,0.9995039483740716,0.0,2.289429839661989,1.4774754511913795
123.2049279854848,0.9991825618202554,0.9992732022127908,0.9992006898987625,1.4921397450962104e-13,2.3084711071835677,True,52,0.9989984832967921,0.9990534270799918,1.0,0.9995200803802744,0.9995058912704732,0.0,2.289429839661989,1.4753542853682837
124.73805598608959,0.9991930783359562,0.9992741514715024,0.9992092929630655,1.3100631690576847e-13,2.3074376525445874,True,55,0.9990282849596857,0.9990774582620491,1.0,0.9995200803802741,0.9995077907246299,0.0,2.2894298396619885,1.4732870737205555
126.2711839866944,0.9992028048441809,0.9992750643475429,0.9992172567448533,1.5143442055887135e-13,2.3064300844601533,True,60,0.9990557865446535,0.9990996421052314,1.0,0.9995200803802742,0.9995096173741362,0.0,2.289429839661989,1.471271685795503
127.8043119872992,0.9992117488637046,0.9992759013918631,0.9992245793693362,1.5365486660812167e-13,2.30544745161081,True,60,0.9990810895138402,0.9991200518894449,1.0,0.9995200803802742,0.99951129228272,0.0,2.289429839661989,1.469306160130912
129.337439987904,0.999219923022116,0.999276631776869,0.9992312647730666,1.4921397450962104e-13,2.304488828248445,True,47,0.9991042934141832,0.9991387610867204,1.0,0.9995200803802742,0.9995127537659021,0.0,2.289429839661989,1.467388703216736
130.8705679885088,0.9992273668521517,0.9992772546034714,0.9992373444024156,1.3633538742396922e-13,2.30355343788334,True,51,0.9991255186462499,0.9991558658376942,1.0,0.9995200803802742,0.9995140000255656,0.0,2.289429839661989,1.4655176408860802
132.4036959891136,0.9992341449294415,0.9992777965995496,0.999242875263463,1.6298074001497298e-13,2.302640399989844,True,46,0.9991449054871245,0.9991714837096095,1.0,0.9995200803802742,0.9995150845442101,0.0,2.289429839661989,1.4636913586277123
133.9368239897184,0.9992403270511961,0.9992782920355552,0.9992479200480681,1.4876988529977098e-13,2.301748962362838,True,54,0.9991625948055409,0.9991857342515438,1.0,0.9995200803802742,0.9995160758964519,0.0,2.289429839661989,1.461908268233489
135.46995199032318,0.9992459668796297,0.9992787612723141,0.9992525257581667,1.3500311979441904e-13,2.3008783608793584,True,52,0.9991787069017972,0.9991987177759005,1.0,0.9995200803802742,0.9995170148238983,0.0,2.289429839661989,1.460166814642024
137.003079990928,0.9992510936028345,0.9992792023892352,0.9992567153601147,1.4921397450962104e-13,2.3000277904755713,True,50,0.9991933332310775,0.9992105070627091,1.0,0.9995200803802742,0.9995178974836626,0.0,2.289429839661989,1.458465508137284
138.5362079915328,0.9992557199420252,0.999279599114038,0.9992604957764278,1.4566126083082054e-13,2.2991966371064194,True,48,0.9992065445577626,0.9992211554690176,1.0,0.9995200803802742,0.9995186913156616,0.0,2.289429839661989,1.4568029529649276
140.0693359921376,0.9992598582334572,0.9992799367430926,0.9992638739353843,1.5498713423767185e-13,2.298384179324591,True,57,0.9992184073532713,0.9992307132312355,1.0,0.9995200803802742,0.9995193668987064,0.0,2.289429839661989,1.4551778510660354
141.6024639927424,0.9992635322472626,0.9992802137516893,0.999266868548148,1.4654943925052066e-13,2.297589854334287,True,59,0.9992289960295226,0.9992392395739559,1.0,0.9995200803802742,0.9995199211821535,0.0,2.289429839661989,1.4535889804419695
