omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,smoothness_weight,curvature_weight,fidelity,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,passed,success,num_iter,alpha,beta
5.0,0.0,240.0,100,360,0.0001,0.0001,0.9983617373786968,0.9983617373786968,0.9983621734252012,0.9983639176112187,0.0016360823887813236,False,True,19,-2.62545283529159e-15,2.2228091289643195
5.0,0.0,260.0,100,360,0.0001,0.0001,0.9985493399705629,0.9985493399705629,0.9985493800458682,0.9985495403470895,0.001450459652910463,False,True,90,0.015101337236943924,1.9569071598666126
5.0,0.0,280.0,100,360,0.0001,0.0001,0.998500930328681,0.998500930328681,0.9985009693536224,0.9985011254533877,0.0014988745466123499,False,True,246,4.814872734224253e-13,1.8347745674796787
5.0,0.0,300.0,100,360,0.0001,0.0001,0.9985268003069665,0.9985268003069665,0.9985268493406274,0.9985270454752706,0.0014729545247293974,False,True,153,-2.555505671700236e-12,2.3384262112923597
5.0,0.0,320.0,100,360,0.0001,0.0001,0.9984789566086815,0.9984789566086815,0.9984790039078536,0.9984791931045423,0.0015208068954577492,False,True,47,-1.970931917158305e-12,2.453193884996395
5.0,0.0,340.0,100,360,0.0001,0.0001,0.9984374683750611,0.9984374683750611,0.9984375135435913,0.9984376942177122,0.0015623057822877762,False,True,111,0.003196067177166766,2.400684355689892
5.0,0.0,360.0,100,360,0.0001,0.0001,0.9983873519853016,0.9983873519853016,0.9983873993772093,0.99838758894484,0.001612411055159968,False,True,118,-0.0036933960739232606,2.394557641819442
5.0,0.0,380.0,100,360,0.0001,0.0001,0.9983388752939915,0.9983388752939915,0.9983389316773218,0.998339157210643,0.0016608427893569644,False,True,122,-1.7267299786197166e-12,2.3737281788894773
5.0,10.0,240.0,100,360,0.0001,0.0001,0.9846414296598814,0.9846414296598814,0.984753212458742,0.9852003436541845,0.014799656345815482,False,True,71,-2.2397008216284282e-14,-2.169459548772173
5.0,10.0,260.0,100,360,0.0001,0.0001,0.9985735543862327,0.9985735543862327,0.9985735937032691,0.9985737509714144,0.001426249028585569,False,True,71,-0.003693396072270358,2.095870957399432
5.0,10.0,280.0,100,360,0.0001,0.0001,0.9985332990318563,0.9985332990318563,0.9985333441571302,0.9985335246582264,0.0014664753417735765,False,True,97,-0.029436213177188572,1.9251050078748688
5.0,10.0,300.0,100,360,0.0001,0.0001,0.9984828958157305,0.9984828958157305,0.9984829531570606,0.9984831825223808,0.0015168174776192256,False,True,263,-5.4920144005467957e-17,1.7976400537907908
5.0,10.0,320.0,100,360,0.0001,0.0001,0.9984504806394302,0.9984504806394302,0.9984505540045951,0.9984508474652547,0.0015491525347453017,False,True,310,-1.7975530846661302e-12,1.7337722510967544
5.0,10.0,340.0,100,360,0.0001,0.0001,0.998434879875581,0.998434879875581,0.9984349228215844,0.9984350946055986,0.0015649053944013502,False,False,360,1.0313085279179125e-12,1.6666281329527615
5.0,10.0,360.0,100,360,0.0001,0.0001,0.9983996026167988,0.9983996026167988,0.9983997110073173,0.9984001445693906,0.0015998554306093649,False,False,360,1.0775264897681791e-13,1.5788894744320843
5.0,10.0,380.0,100,360,0.0001,0.0001,0.9983506055943994,0.9983506055943994,0.9983506758458865,0.9983509568518356,0.0016490431481643864,False,False,360,0.03291570195704322,1.5300427048075487
5.0,20.0,240.0,100,360,0.0001,0.0001,0.9617810740796654,0.9617810740796654,0.9620801237929643,0.9632763226461593,0.036723677353840745,False,True,19,-6.17805645145332e-14,2.331308180633109
5.0,20.0,260.0,100,360,0.0001,0.0001,0.995221336308485,0.995221336308485,0.9952330203451043,0.9952797564915816,0.004720243508418376,False,True,7,9.375191925532987e-14,2.2423578981009666
5.0,20.0,280.0,100,360,0.0001,0.0001,0.9985616603981432,0.9985616603981432,0.9985616972927633,0.9985618448712438,0.0014381551287562244,False,True,75,0.03291570195784791,2.005786166286665
5.0,20.0,300.0,100,360,0.0001,0.0001,0.9985074135037351,0.9985074135037351,0.9985074522478901,0.9985076072245099,0.00149239277549007,False,True,73,-0.04227614800654581,1.88394946866138
5.0,20.0,320.0,100,360,0.0001,0.0001,0.9984671736006611,0.9984671736006611,0.9984672475294495,0.998467543244603,0.001532456755397038,False,True,325,1.0003503463120097e-12,1.7659633070205272
5.0,20.0,340.0,100,360,0.0001,0.0001,0.9984023437241528,0.9984023437241528,0.9984024196042384,0.998402723124581,0.0015972768754189959,False,True,352,-3.106691282220142e-13,1.6143038156032776
5.0,20.0,360.0,100,360,0.0001,0.0001,0.9983983920495703,0.9983983920495703,0.9983984492556344,0.9983986780798906,0.001601321920109422,False,True,302,1.9764776507428155e-10,-1.6098596605374784
5.0,20.0,380.0,100,360,0.0001,0.0001,0.9983686281203817,0.9983686281203817,0.998368694653918,0.9983689607880634,0.0016310392119366357,False,False,360,-0.017112098848059372,1.5393049886657388
5.0,40.0,240.0,100,360,0.0001,0.0001,0.8921379316620213,0.8921379316620213,0.893548719651536,0.8991918716095951,0.10080812839040487,False,True,24,-1.1152845524921156e-14,2.4956016488120736
5.0,40.0,260.0,100,360,0.0001,0.0001,0.9527251862655007,0.9527251862655007,0.9531384841995181,0.9547916759355877,0.04520832406441233,False,True,99,1.6896329030751194e-13,2.351745843417528
5.0,40.0,280.0,100,360,0.0001,0.0001,0.9916398424405983,0.9916398424405983,0.9916692298426888,0.9917867794510509,0.00821322054894913,False,True,115,-6.897129010842707e-14,2.255209692552897
5.0,40.0,300.0,100,360,0.0001,0.0001,0.9985676196969737,0.9985676196969737,0.9985676551932263,0.9985677971782366,0.001432202821763373,False,True,357,1.3155429387501607e-12,2.040724354718187
