omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,smoothness_weight,curvature_weight,fidelity,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,passed,success,num_iter,alpha,beta
5.0,40.0,300.0,64,360,0.0001,0.0001,0.9985675292298678,0.9985675292298678,0.9985675760752837,0.9985677634569479,0.0014322365430521344,False,True,274,4.758477571483967e-13,2.055549940645501
5.0,40.0,320.0,64,360,0.0001,0.0001,0.9985259265881258,0.9985259265881258,0.9985259781329094,0.9985261843120439,0.001473815687956126,False,True,151,-2.2475932069785974e-13,1.9025409612176292
5.0,40.0,340.0,64,360,0.0001,0.0001,0.9984699174164734,0.9984699174164734,0.9984699704710644,0.998470182689429,0.0015298173105710022,False,True,272,-8.478263187399853e-13,1.7928280124814173
5.0,40.0,360.0,64,360,0.0001,0.0001,0.9984018909300433,0.9984018909300433,0.9984019575380556,0.9984022239701048,0.0015977760298951926,False,True,307,2.6722790190240953e-14,1.681350724823814
5.0,40.0,380.0,64,360,0.0001,0.0001,0.998314891266586,0.998314891266586,0.9983149952329493,0.998315411098402,0.0016845889015979498,False,True,265,-5.172479975319193e-13,1.586923300698196
5.0,80.0,240.0,64,360,0.0001,0.0001,0.6772936897087123,0.6772936897087123,0.7094352987894273,0.8380017351122875,0.16199826488771252,False,True,156,4.2533666915321505e-14,2.5870190614579682
5.0,80.0,260.0,64,360,0.0001,0.0001,0.7910763447968058,0.7910763447968058,0.7919917642862628,0.7956534422440912,0.20434655775590882,False,True,69,3.807093166848989e-15,-3.141592653589793
5.0,80.0,280.0,64,360,0.0001,0.0001,0.8637478547017906,0.8637478547017906,0.866305291579633,0.8765350390910026,0.12346496090899739,False,True,94,-1.6015000412351427e-13,-2.468405326611465
5.0,80.0,300.0,64,360,0.0001,0.0001,0.9285466408157468,0.9285466408157468,0.9295833900322276,0.9337303868981506,0.06626961310184942,False,True,112,-1.1828314297455626e-14,-2.301661123056044
5.0,80.0,320.0,64,360,0.0001,0.0001,0.9785236321101535,0.9785236321101535,0.9786478785172728,0.9791448641457497,0.02085513585425025,False,True,109,-6.952224317343625e-14,2.2904666248964536
5.0,80.0,340.0,64,360,0.0001,0.0001,0.9985513372144523,0.9985513372144523,0.9985513723345495,0.9985515128149377,0.0014484871850622971,False,True,173,4.3992530398218973e-13,2.2093069309224727
