omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,fidelity,process_fidelity,active_population,leakage,cz_phase_error_rad,passed,success,num_iter,alpha,beta
5.0,0.0,120.0,100,240,0.6741875697799325,0.6023884633189807,0.9613839956237399,0.038616004376260116,-2.629512829949202,False,True,38,-2.5224050468132195e-14,-2.0300641580068675
5.0,0.0,160.0,100,240,0.7910699129572324,0.7714187359674456,0.8696746209163797,0.1303253790836203,-1.36180151063666,False,True,22,-1.6683981367499086e-14,-2.3967410795978688
5.0,0.0,200.0,100,240,0.9243068060739624,0.9226106858148708,0.931091287110329,0.06890871288967104,0.37181919708181876,False,True,27,4.404400136509195e-15,2.3781602098065293
5.0,0.0,240.0,100,240,0.999789938281968,0.9997891194496535,0.9997932136112256,0.0002067863887743604,0.008086579324389831,True,True,20,-7.397965762603361e-14,2.2238273770579755
5.0,0.0,300.0,100,240,0.9999999800184133,0.9999999797935556,0.9999999809178445,1.9082155522376354e-08,-0.00013382514629078912,True,True,19,-8.307847648623906e-14,1.8257564624564484
5.0,0.0,380.0,100,240,0.9999999923750107,0.9999999912603499,0.9999999968336539,3.166346074223725e-09,0.0002977865259232715,True,True,173,7.175051279068155e-13,-1.0735893017102627
5.0,0.0,480.0,100,240,0.9999999298089287,0.9999999220361337,0.9999999609001087,3.9099891324667624e-08,0.00024188897200705384,True,False,240,1.04136931419049e-12,-0.5017873390900331
5.0,0.0,600.0,100,240,0.9999997474677865,0.9999997457322665,0.9999997544098671,2.455901328968224e-07,-0.0003723372688106963,True,True,219,-1.3214875682803982e-13,1.2228072236938357
5.0,0.0,760.0,100,240,0.9999999934450752,0.9999999932722605,0.9999999941363343,5.863665664129769e-09,-0.00011347751688539631,True,True,181,-7.927025374914061e-14,1.1796416325270906
5.0,10.0,120.0,100,240,0.6496625588185663,0.5673899202090112,0.9787531132567865,0.02124688674321351,-2.8213674938256226,False,True,137,-4.43225701036356e-13,-1.9334285486118108
5.0,10.0,160.0,100,240,0.7464660487157684,0.7083619386527267,0.8988824889679354,0.10111751103206457,-1.9104039387503575,False,True,50,-5.18098052920187e-13,-2.282240997059981
5.0,10.0,200.0,100,240,0.8801270833234668,0.8762085402887746,0.8958012554622359,0.10419874453776412,0.5791429334933857,False,True,61,8.353010649324e-14,2.451078496977023
5.0,10.0,240.0,100,240,0.9868483601631508,0.986734266380928,0.9873047352920421,0.012695264707957898,0.09420642193968565,False,True,52,2.0149222757833846e-13,2.2653953475725395
5.0,10.0,300.0,100,240,0.9999999828167428,0.9999999826989271,0.999999983288006,1.6711994010876197e-08,-9.64886198104864e-05,True,True,151,6.247711891497531e-14,1.8952156983368196
5.0,10.0,380.0,100,240,0.9999999966788635,0.9999999960116683,0.9999999993476443,6.523557249948908e-10,0.0002310052050153999,True,True,221,5.144916794997082e-13,-1.2463782723168573
5.0,10.0,480.0,100,240,0.9999999567958694,0.99999995524606,0.9999999629951072,3.7004892816661084e-08,3.078045817872521e-05,True,False,240,3.3926637366856213e-13,-0.5242717346586784
5.0,10.0,600.0,100,240,0.9999998489928894,0.9999998479971313,0.9999998529759215,1.4702407846733934e-07,8.063998986296284e-05,True,False,240,-3.3945578340207146e-13,-1.4697956943342894
5.0,10.0,760.0,100,240,0.9999999718595985,0.9999999714292549,0.9999999735809733,2.6419026744051166e-08,0.0001727323026319283,True,False,240,9.650433634185195e-14,0.6210744734666037
