omega_max_mhz,edge_ns,total_time_ns,selection_kind,direct_fidelity,fidelity,active_population,loss_proxy,passed,success,num_iter,wall_time_s,basis_num_modes,basis_num_parameters
5.0,0.0,260.0,best below threshold,0.9985493399705629,0.9985458567608013,0.9985460785025781,0.0014539214974218506,False,True,48,3.6474805699999706,6,13
5.0,10.0,260.0,best below threshold,0.9985735543862327,0.9985735358322195,0.9985737416900684,0.001426258309931594,False,True,85,3.413769992000198,6,13
5.0,20.0,280.0,best below threshold,0.9985616603981432,0.9985666100308639,0.9985668215756904,0.0014331784243095669,False,True,74,4.524889266000173,6,13
5.0,40.0,300.0,best below threshold,0.9985676196969737,0.998572002412348,0.9985722151068519,0.0014277848931480985,False,True,69,5.762985903000299,6,13
5.0,80.0,340.0,best below threshold,0.9985632812779931,0.9985635814522917,0.9985637832208798,0.001436216779120203,False,True,27,4.670577668999613,6,13
10.0,0.0,120.0,first above threshold,0.9991529838906335,0.9989268481832992,0.9989388136210853,0.0010611863789147247,False,True,20,1.316284189999351,6,13
10.0,10.0,135.0,first above threshold,0.9992921811870177,0.9992928787395455,0.9992929301689287,0.000707069831071272,True,True,33,3.6729440950002754,6,13
10.0,20.0,150.0,first above threshold,0.999286896842191,0.9992907306676432,0.9992907863870365,0.0007092136129634996,True,True,114,3.9520878389994323,6,13
10.0,40.0,170.0,first above threshold,0.9992821616937421,0.9992871410470434,0.9992871905570045,0.0007128094429954546,True,True,201,6.87795093800014,6,13
10.0,80.0,240.0,first above threshold,0.999223701373429,0.9992839072204618,0.9992839604235707,0.0007160395764292948,True,True,418,20.638279448000503,6,13
20.0,0.0,60.0,first above threshold,0.9996227189595515,0.9993952108119416,0.9994017052368842,0.000598294763115792,True,True,26,1.3774535920001654,6,13
20.0,10.0,75.0,first above threshold,0.9996495286079728,0.9996506526542717,0.9996506671612253,0.00034933283877469634,True,True,124,5.837725251999473,6,13
20.0,20.0,90.0,first above threshold,0.9996408224296727,0.9996478986110973,0.9996479119179751,0.00035208808202491504,True,True,164,4.752922097999544,6,13
20.0,40.0,120.0,first above threshold,0.999613392242092,0.9996403270212778,0.999640340928833,0.0003596590711669734,True,True,420,16.016203928999857,6,13
20.0,80.0,180.0,first above threshold,0.9994650975579914,0.9996029149810037,0.9996029290853995,0.0003970709146005058,True,True,275,13.67218187799972,6,13
