Fig3a_Omega_x,Fig3a_Omega_y,Fig3a_phi_x,Fig3a_phi_y,Fig3b_|01>_x,Fig3b_|01>_y,Fig3b_|01>_z,Fig3b_|11>_x,Fig3b_|11>_y,Fig3b_|11>_z,Fig3d_|00>_y,Fig3d_|00>_yerr,Fig3d_|11>_y,Fig3d_|11>_yerr,Fig3d_Fsp/2,Fig3e_P00_x,Fig3e_P00_y,Fig3e_P00_yerr,Fig3d_Fsp/2.1,Fig3f_P|00>_x,Fig3f_P|00>_y,Fig3f_P|00>_yerr
0.0,0.0022110027588564,0.0,0.0006590650523078,-0.0,0.0099998333341666,-0.9999500004166652,-0.0,0.0141416642239241,-0.9999000016666556,0.4554247266610597,0.0102124827765029,0.4157596865476708,0.0102833934115328,0.4358248395620989,0.0,0.0072992700729927,0.005142491773462,0.4358248395620989,0.0,0.8238503201355837,0.008291305034089348
0.0012412083612198,0.0027477557880289,0.0012412083612198,0.0013069173353956,-0.0008512570812919,0.0399772511790168,-0.9992002275567952,-0.0012034400789859,0.0565212979885948,-0.9984006683720024,,,,,,0.62831853,0.0431654676258992,0.0121888925185707,,2.0,0.787981804112944,0.010331392070888927
0.0024824167224396,0.0032845088172013,0.0024824167224396,0.0019421438786459,-0.001663352255788,0.0699197558314048,-0.9975512322701778,-0.0023501435711667,0.0988007204525557,-0.9951044640957308,,,,,,1.256637062,0.1412639405204461,0.0212358362706898,,4.0,0.7449477881849638,0.008177384349425894
0.0037236250836594,0.0038212618463738,0.0037236250836594,0.0025635041871571,-0.0024121887772223,0.0998009453546334,-0.9950044988097418,-0.0034053061055032,0.1409046015434891,-0.9900173216435152,,,,,,1.884955592,0.2546296296296296,0.0296424199717094,,6.0,0.7248627272241084,0.009584829522738663
0.0049648334448792,0.0043580148755463,0.0049648334448792,0.0031699197605131,-0.0030741600494415,0.1295943182029936,-0.991562334011076,-0.0043352643675787,0.1827577010107976,-0.9831484263345556,,,,,,2.513274122,0.359090909090909,0.0228704169824834,,8.0,0.7026865138066594,0.009723253535756015
0.006206041806099,0.0048947679047187,0.006206041806099,0.0037604640260808,-0.0036262993186015,0.1592732444774887,-0.98722787822613,-0.0051078811797545,0.2242849308179557,-0.9745102253736696,,,,,,3.141592654,0.4449760765550239,0.0243072619865755,,10.0,0.6761761311386462,0.01091151629593485
0.0074472501673188,0.0054315209338912,0.0074472501673188,0.0043343526755161,-0.0040464269140851,0.1888109421178904,-0.9820051194193358,-0.0056929199058697,0.2654114281158521,-0.9641184390356048,,,,,,3.769911184,0.4281767955801105,0.0260068747448986,,,,
0.0086884585285386,0.0059682739630637,0.0086884585285386,0.0048909343933773,-0.0043132945596323,0.2181804590466379,-0.9758989101235028,-0.0060624058428434,0.3060626410145547,-0.9519920729767632,,,,,,4.398229716,0.3348623853211009,0.0319639682620258,,,,
0.0099296668897585,0.0065050269922361,0.0099296668897585,0.0054296819669633,-0.0044067262301433,0.2473546622036452,-0.9689149869054832,-0.0061909722124174,0.3461644291191282,-0.938153430882015,,,,,,5.026548246000001,0.2081447963800905,0.0273092346869229,,,,
0.0111708752509783,0.0070417800214086,0.0111708752509783,0.0059501837667082,-0.0043077549783375,0.2763062343231462,-0.961059991947021,-0.0060561883154574,0.3856431805053953,-0.9226281265562924,,,,,,5.654866776,0.0765550239234449,0.0183915874563669,,,,
0.0124120836121981,0.0075785330505811,0.0124120836121981,0.0064521355866765,-0.0039987551008548,0.3050076792043746,-0.9523414963047676,-0.0056388673640265,0.4244259464861375,-0.905445094483482,,,,,,6.283185308,0.018018018018018,0.0089274778387741,,,,
0.0136532919734179,0.0082657536234088,0.0136532919734179,0.0069353328349101,-0.0034635689575567,0.3334313361173103,-0.9427680243756148,-0.0049233514685981,0.4624405951599385,-0.8866365978000477,,,,,,6.911503838,0.052863436123348,0.0148515255664236,,,,
0.0148945003346377,0.0089529741962365,0.0148945003346377,0.0073996630635848,-0.0026876277029701,0.3615494038632459,-0.9323490790596946,-0.0038977712352652,0.4996159843470013,-0.8662382325690662,,,,,,7.539822368,0.105,0.0216766002869453,,,,
0.0161357086958575,0.0096401947690642,0.0161357086958575,0.0078450988291366,-0.0016580651373613,0.3893339748780186,-0.9210951670840976,-0.0025542774267605,0.5358821541028026,-0.8442889271931571,,,,,,8.1681409,0.2428571428571428,0.0295906638285028,,,,
0.0173769170570773,0.0103274153418918,0.0173769170570773,0.0082716908727156,-0.0003638238392418,0.4167570796241197,-0.9090178239261252,-0.0008892421675543,0.5711705385660532,-0.8208309357733401,,,,,,8.79645943,0.3953934740882917,0.021420633080456,,,,
0.0186181254182971,0.0110146359147195,0.0186181254182971,0.0086795616115269,0.0012042472963853,0.4437907413674954,-0.896129637756132,0.001096572766933,0.6054141964475294,-0.7959098242062128,,,,,,9.42477796,0.4058252427184466,0.0216382937741906,,,,
0.019859333779517,0.0117018564875472,0.019859333779517,0.0090688989318052,0.0030533050166486,0.4704070412769069,-0.8824442718073362,0.0033978829385338,0.6385480590071381,-0.7695744478149973,,,,,,10.053096492000002,0.4165029469548134,0.0218509076536951,,,,
0.0211005421407368,0.0123890770603749,0.0211005421407368,0.0094399502743665,0.0051884340829786,0.4965781936197744,-0.8679764845737968,0.0060047857316347,0.6705091939049929,-0.7418769193317712,,,,,,10.681415022,0.3923444976076555,0.0337745333695149,,,,
0.0223417505019566,0.0130762976332026,0.0223417505019566,0.009793017003865,0.0076125809726066,0.5222766306603098,-0.8527421472385703,0.0089027043661414,0.7012370828559864,-0.7128725660892004,,,,,,11.309733552,0.1973094170403587,0.026649898491932,,,,
0.0235829588631764,0.0137635182060303,0.0235829588631764,0.0101284490530707,0.0103264998074395,0.5474750966956025,-0.8367582577422618,0.0120723732293906,0.7306739105746167,-0.6826198753407444,,,,,,11.938052084,0.052863436123348,0.0148515255664236,,,,
0.0248241672243962,0.014450738778858,0.0248241672243962,0.0104466398336646,0.0133287113721985,0.5721467504956096,-0.8200429509181023,0.0154898660272416,0.7587648620764603,-0.6511804267087228,,,,,,12.566370614,0.018348623853211,0.009089754252263,,,,
0.026065375585616,0.0153216920673997,0.026065375585616,0.0107480214052283,0.0166154760279368,0.5962652752464174,-0.802615504143595,0.0191266679114711,0.7854584250138149,-0.6186188108596664,,,,,,,,,,,,
0.0273065839468358,0.0161926453559414,0.0273065839468358,0.0110330598942838,0.0201807812508597,0.619804994935628,-0.7844963379907834,0.0229497923467003,0.8107066933749709,-0.5850025336255147,,,,,,,,,,,,
0.0285477923080556,0.0170635986444832,0.0285477923080556,0.0113022511554119,0.0240163444294943,0.6427409959674009,-0.7657070113973591,0.0269219430382504,0.8344656685785328,-0.5504019049266049,,,,,,,,,,,,
0.0297890006692755,0.0179345519330249,0.0297890006692755,0.0115561166666497,0.0281116314359192,0.6650492526557503,-0.7462702109290151,0.0310017207570976,0.8566955537550902,-0.5148899120067963,,,,,,,,,,,,
0.0310302090304953,0.0188055052215666,0.0310302090304953,0.0117951996515394,0.0324538913497858,0.6867067551214072,-0.7262097337593887,0.0351438743756841,0.8773610368366092,-0.4785420766608357,,,,,,,,,,,,
0.0322714173917151,0.0196764585101084,0.0322714173917151,0.0120200614203634,0.0370282075586428,0.7076916380130732,-0.7055504640572249,0.0392995948765664,0.896431557976571,-0.4414362963171972,,,,,,,,,,,,
0.0335126257529349,0.0205474117986501,0.0335126257529349,0.0122312779232685,0.0418175652865996,0.7279833083912347,-0.6843183425404082,0.0434168505241024,0.9138815568072896,-0.4036526690337393,,,,,,,,,,,,
0.0347538341141547,0.0214183650871918,0.0347538341141547,0.0124294365081429,0.0468029354182127,0.7475625710545869,-0.6625403290324994,0.047440760808266,0.9296906951096976,-0.3652733026658118,,,,,,,,,,,,
0.0359950424753745,0.0222893183757336,0.0359950424753745,0.0126151328762654,0.0519633742887459,0.7664117495579308,-0.640244357938496,0.0513140061910548,0.94384405062817,-0.3263821086739327,,,,,,,,,,,,
0.0372362508365943,0.0231602716642753,0.0372362508365943,0.01278896822891,0.0572761389092485,0.7845148011680414,-0.6174592866415688,0.0549772701224161,0.9563322780096504,-0.2870645812474427,,,,,,,,,,,,
0.0384774591978141,0.0242528123559709,0.0384774591978141,0.0129515465982351,0.0627168168892006,0.8018574240317794,-0.594214836910358,0.0583697092572855,0.9671517331813262,-0.2474075626281197,,,,,,,,,,,,
0.039718667559034,0.0253453530476665,0.039718667559034,0.0131034723559449,0.0682594701151181,0.818427154889381,-0.5705415294956839,0.0614294473114053,0.976304557900985,-0.2074989957199507,,,,,,,,,,,,
0.0409598759202538,0.0264378937393621,0.0409598759202538,0.013245347893357,0.0738767910449802,0.8342134557553291,-0.5464706121848146,0.0640940875539665,0.9837987217133214,-0.1674276652643478,,,,,,,,,,,,
0.0422010842814736,0.0275304344310577,0.0422010842814736,0.0133777714666577,0.0795402702902448,0.8492077881088257,-0.5220339816692667,0.0663012385619804,0.9896480191159164,-0.1272829290403935,,,,,,,,,,,,
0.0434422926426934,0.0286229751227533,0.0434422926426934,0.0135013352012708,0.0852203739840458,0.8634036732840721,-0.4972640996669558,0.0679890475656528,0.9938720203703368,-0.0871544407136655,,,,,,,,,,,,
