FigS2b_RealIntensity_x,FigS2b_RealIntensity_y,FigS2b_RealIntensity_yerr,FigS2b_TargetIntensity_x,FigS2b_TargetIntensity_y,FigS2c_RealPhase_x,FigS2c_RealPhase_y,FigS2c_RealPhase_yerr,FigS2c_TargetPhase_x,FigS2c_TargetPhase_y
0.0,0.0023977931477639617,0.0004506313408718886,0.0,1.9336787309326306e-06,0.14909409744382138,0.04178061526755376,0.07227872697000061,0.0,0.0006590650523078829
0.012424508120318449,0.0019606484976420835,0.0005093294119019983,0.0012424508120318447,2.9876645878318602e-06,0.16151860556413983,-0.011487035404750136,0.04968461891369862,0.0012424508120318447,0.0013075531978012968
0.024849016240636897,0.0018488853418161364,0.00041221066438760107,0.0024849016240636895,4.270028188823314e-06,0.17394311368445825,0.020628589458227254,0.0407237459725666,0.0024849016240636895,0.0019433878432275067
0.037273524360955344,0.002084536242272251,0.000362450677653126,0.003727352436095534,5.78076953390699e-06,0.18636762180477673,0.0016539556561393338,0.032039684763437944,0.003727352436095534,0.002565325254945045
0.049698032481273795,0.0019364199524282129,0.0005966384240801874,0.004969803248127379,7.519888623082889e-06,0.19879212992509518,0.011391207065620934,0.03074221387321395,0.004969803248127379,0.0031722843021170714
0.06212254060159224,0.0015604553307592914,0.0006403469323975723,0.006212254060159224,9.487385456351009e-06,0.2112166380454136,0.015124634365884737,0.024382918821371287,0.006212254060159224,0.003763336341643595
0.07454704872191069,0.0028927521648762417,0.0006605011232220253,0.007454704872191068,1.1683260033711353e-05,0.22364114616573205,0.07035079314950295,0.011599106645248408,0.007454704872191068,0.004337695508656454
0.08697155684222913,0.0023198954281459885,0.0004216114258050096,0.008697155684222913,1.4107512355163923e-05,0.2360656542860505,0.07999803205222257,0.014352304339397548,0.008697155684222913,0.004894709401400519
0.09939606496254759,0.0025003482502125854,0.00036037843737445036,0.009939606496254758,1.676014242070871e-05,0.24849016240636895,0.12355276078725576,0.015368915591891318,0.009939606496254758,0.005433850149543933
0.11182057308286603,0.005434487110140465,0.0009227980813259447,0.011182057308286603,1.964115023034573e-05,0.2609146705266874,0.09822722341207855,0.009759195675683334,0.011182057308286603,0.005954705855176458
0.12424508120318448,0.005755929307487719,0.0011249032204898215,0.012424508120318449,2.2759573301604368e-05,0.27333917864700585,0.12236738864620597,0.016024585200841466,0.012424508120318449,0.006456972395968167
0.13666958932350293,0.007253093406325142,0.0012479823902724408,0.013666958932350292,2.707481271578127e-05,0.28576368676732433,0.17810048698450662,0.012345999946142385,0.013666958932350292,0.0069404455801708
0.14909409744382138,0.015173751584430732,0.0020067330628685677,0.014909409744382136,3.1764418712495926e-05,0.29818819488764275,0.2160563074369175,0.01032077650849268,0.014909409744382136,0.0074050136433512805
0.16151860556413983,0.0250028412856372,0.0038155787245412595,0.01615186055641398,3.682839129174834e-05,0.3106127030079612,0.2607247142351876,0.009813617252668565,0.01615186055641398,0.007850650076950958
0.17394311368445825,0.044676625270183616,0.00476536423571414,0.017394311368445825,4.226673045353852e-05,0.32303721112827966,0.3288693522676525,0.0083021186292901,0.017394311368445825,0.008277406778965267
0.18636762180477673,0.0736144281665966,0.0044925857188042595,0.018636762180477672,4.807943619786646e-05,0.3354617192485981,0.38773500870448613,0.011091356414738523,0.018636762180477672,0.008685407517236862
0.19879212992509518,0.09750827147836172,0.006845562943990563,0.019879212992509516,5.426650852473215e-05,0.3478862273689165,0.45975697316112235,0.013542296154698647,0.019879212992509516,0.009074841696050513
