Fig2a_population_x,Fig2a_population_y,Fig2a_population_yerr,Fig2a_|0>_x,Fig2a_|0>_y,Fig2a_|0>_yerr,Fig2a_|1>_x,Fig2a_|1>_y,Fig2a_|1>_yerr,Fig2b_ScatterRates_x,Fig2b_ScatterRates_y,Fig2b_ScatterRates_yerr,Fig2c_1S0population_x,Fig2c_1S0population_y,Fig2c_1S0population_yerr,Fig2d_dark_counts,Fig2d_dark_bins,Fig2d_bright_counts,Fig2d_bright_bins,Fig2g_P(err.|det.)_x,Fig2g_P(err.|det.)_y,Fig2g_P(err.|det.)_yerr,Fig2g_(e-e_c)/e_x,Fig2g_(e-e_c)/e_y,Fig2g_(e-e_c)/e_yerr,Fig2e_raw_x,Fig2e_raw_y,Fig2e_raw_yerr,Fig2e_eraure_x,Fig2e_eraure_y,Fig2e_eraure_yerr,Fig2e_survival_x,Fig2e_survival_y,Fig2e_survival_yerr,Fig2d_399on_x,Fig2d_399on_y,Fig2d_399on_yerr
0.01,0.9329896907216496,0.0179518151924812,0.0,0.9343434343434344,0.0124464287444951,0.0,0.0025316455696202,0.0025284389241665,2.7,1.2455138342123162,0.0894689090459986,2.7,0.7605631798963502,0.0214711221584838,2.0,-480.0,0.0,-480.0,262.5,0.3279716688493056,0.0140509216010476,262.5,0.560556380983873,0.0690215191788442,0.0,0.9354942058115711,0.005012031314247274,0.0,0.9384794127848088,0.0048266677397263355,0.0,0.9563422001201148,0.004466873862387866,300.0,0.699778747152701,0.015953631873126352
0.05,0.8883248730964467,0.0224404222992272,0.001,0.9289340101522844,0.0183058636599991,0.001,0.0,0.0,5.4,3.0733388865119435,0.0994240704497443,5.4,0.6409766274815412,0.0153090073744937,8.0,-380.0,0.0,-380.0,425.0,0.4061188028511933,0.0174857395041324,425.0,0.5630133191355272,0.0411408553272203,50.0,0.8914018130866641,0.011425540015353853,50.0,0.9038422829605484,0.008790228309172659,50.0,0.9428161159080046,0.006016126888289328,,,
0.1,0.9081632653061223,0.0206282386269459,0.004,0.921875,0.0193678057039629,0.004,0.0,0.0,6.45,3.746762367363031,0.1563266120173244,6.45,0.5746258663140575,0.0149910537504006,44.0,-280.0,0.0,-280.0,587.5,0.519302398403698,0.0209322809176562,587.5,0.5417316668225665,0.0461528454517502,100.0,0.8388789833047786,0.0077119393504346484,100.0,0.8919676196741871,0.006707123715376351,100.0,0.9277574078986464,0.007543979290362203,,,
0.2,0.8802083333333334,0.0234344857243782,0.01,0.928388746803069,0.0130396877573603,0.01,0.0060728744939271,0.0034955132286107,7.500000000000001,5.211791114552882,0.1609887133354362,7.500000000000001,0.5295717224572796,0.0083013791821503,177.0,-180.0,0.0,-180.0,750.0,0.6794639150510745,0.0240034783915346,750.0,0.5295534566869606,0.0413655970384843,150.0,0.8103247643837677,0.009736981694557967,150.0,0.8861366096229751,0.009241889513216065,150.0,0.920219279182384,0.008578601331654593,,,
0.4,0.7680412371134021,0.0303037794253011,0.05,0.8903061224489796,0.0157840279301934,0.05,0.005089058524173,0.0035893396046817,8.850000000000001,6.257869742298332,0.1752173056405743,8.850000000000001,0.4489059666009757,0.0075057065083372,413.0,-80.0,4.0,-80.0,912.5,0.8238848073268532,0.0252009935169387,912.5,0.5104938471681907,0.0390301182797337,200.0,0.7473933808394193,0.00982424731967915,200.0,0.8538849893088157,0.009937084432261458,200.0,0.9131395914121271,0.008629472982178353,,,
0.8,0.7157360406091371,0.0321369184399137,0.1,0.8954081632653061,0.015456686059328,0.1,0.0050632911392405,0.0035712119781115,10.2,7.77681623405546,0.1166642594955061,10.2,0.4134444354480876,0.0078187569776008,537.0,20.0,5.0,20.0,1075.0,0.9115567577109764,0.0198918121286556,1075.0,0.4907295829241163,0.0389409479902416,250.0,0.744243881148685,0.014381908398387652,250.0,0.8408466492540141,0.010172760606737346,250.0,0.9170313044422137,0.009032307912243756,,,
1.2,0.6428571428571429,0.0342255302678539,0.2,0.8888888888888888,0.0157926456559711,0.2,0.0126903553299492,0.0056391736739298,13.05,11.805883683093509,0.3382664549226814,13.05,0.3793721334204173,0.0068787652563378,453.0,120.0,5.0,120.0,1237.5,0.9602831945270026,0.0143681018180877,1237.5,0.4524279176293297,0.041555935099315,300.0,0.6929332107512322,0.013954810497656435,300.0,0.8096767339571288,0.012337599421353441,300.0,0.9018261758771322,0.009394846472439775,,,
1.5,0.6230366492146597,0.035066278527821,0.4,0.818639798488665,0.019338472560027,0.4,0.0102564102564102,0.0051018388603101,15.15,15.942294260807357,0.3762585589153512,15.15,0.3037178681511118,0.0084180847840433,310.0,220.0,6.0,220.0,1400.0,0.9867994617994618,0.0081843965829348,1400.0,0.4240236376656723,0.0474882248430711,,,,,,,,,,,,
2.0,0.47,0.0352916420700425,0.8,0.6868686868686869,0.02330518290363,0.8,0.0177215189873417,0.0066384889908264,27.0,45.80899029594887,2.744460439597323,27.0,0.1985015124214138,0.0095871893501476,222.0,320.0,4.0,320.0,1562.5,0.9883926929120616,0.007612139469928,1562.5,0.3866372640084888,0.0490009738058544,,,,,,,,,,,,
2.5,0.3928571428571428,0.0348846794162687,1.2,0.6279863481228669,0.0282371414871579,1.2,0.0135593220338983,0.0067335403385675,,,,,,,82.0,420.0,5.0,420.0,1725.0,0.9956521739130436,0.0060815530972194,1725.0,0.3495877005263926,0.0483953708803427,,,,,,,,,,,,
