Fig1c_NuclearRabi_x,Fig1c_NuclearRabi_y,Fig1c_NuclearRabi_yerr,Fig1d_RydbergRabi_x,Fig1d_RydbergRabi_y,Fig1d_RydbergRabi_yerr
0.01,0.008403361344537815,0.008367978613303037,0.0,0.9663865546218487,0.011682706760864178
0.51,0.075,0.024044230077089182,0.075,0.7907949790794979,0.026309891241961186
1.01,0.39759036144578314,0.037984799268774926,0.15,0.46382978723404256,0.032530948649494115
1.51,0.7966101694915254,0.03025526123684363,0.22499999999999998,0.09663865546218488,0.019152157845453554
2.0100000000000002,0.9438202247191011,0.017259358010487946,0.3,0.017167381974248927,0.008509692270223523
2.5100000000000002,0.8146067415730337,0.029128020232735398,0.375,0.26359832635983266,0.028499008916198394
3.0100000000000002,0.4722222222222222,0.03721024314335207,0.44999999999999996,0.6059322033898306,0.031808375421738144
3.5100000000000002,0.1694915254237288,0.028200667964327953,0.5249999999999999,0.925,0.017001838135919302
4.01,0.011235955056179775,0.007900258981018565,0.56,0.9620253164556962,0.015205888048861778
4.51,0.0893854748603352,0.021324273648036764,0.6,0.9033613445378151,0.01915215784545355
5.01,0.40782122905027934,0.03673117457144216,0.675,0.6666666666666666,0.030621014144975024
5.51,0.776536312849162,0.031135643738935848,0.75,0.22712933753943218,0.023532084384594865
6.01,0.9574468085106383,0.02081898105489708,0.8250000000000001,0.037815126050420166,0.012364414629368306
6.51,0.848314606741573,0.02688687649577824,0.8999999999999999,0.11814345991561181,0.020966678687094155
7.01,0.5949367088607594,0.03188766022662432,0.975,0.42016806722689076,0.03199441012821712
7.51,0.23728813559322035,0.03197655181693623,1.0499999999999998,0.7784431137724551,0.03213644492117717
8.01,0.011299435028248588,0.007944638172079315,1.125,0.95625,0.01617017654124406
8.51,0.05555555555555555,0.01707323047646831,1.2,0.8164556962025317,0.030796986571820294
9.01,0.3305084745762712,0.04330348390978368,1.2750000000000001,0.47770700636942676,0.03986466136442847
9.51,0.7394957983193278,0.04023479018300563,1.35,0.14012738853503184,0.02770312400666324
10.01,0.9166666666666666,0.025230419617479103,1.4249999999999998,0.012903225806451613,0.009064903099045929
10.51,0.9159663865546218,0.025432719820168356,1.5,0.16065573770491803,0.021026561784640407
11.010000000000002,0.6779661016949152,0.04301439123066887,1.575,0.5974842767295597,0.03889162621795919
11.51,0.288135593220339,0.04169232270301156,1.6500000000000001,0.864516129032258,0.02748935180067978
,,,1.725,0.8625,0.027225189393280624
,,,1.7999999999999998,0.6493506493506493,0.038451722432713775
,,,1.875,0.24050632911392406,0.04808524007993697
